=i҆|I
=w|you
=f|he
=fi҆|he
=n|we
=ni҆|we both
=s|you
=sn|you
=k|you
=ṯ|you
=ṯn|you
ꜣ|Eagle, vulture
ꜣ|but
ꜣ|to enter
ꜣt|Headdress
ꜣt|time
ꜣt|force
ꜣt|Place, place
ꜣt|move
ꜣt|Support rod
ꜣꜣ|ruin
ꜣꜣt|Club
ꜣꜣti҆w|Designation of a rebel
ꜣi҆|Bandage
ꜣi҆t-ḥr|Shy
ꜣi҆w|atmospheric phenomenon:
ꜣi҆s|brain
ꜣi҆i҆t|Deity:
ꜣꜥi҆|force
ꜣꜥꜥ|to build
ꜣꜥꜥ|accuse
ꜣꜥꜥ|Job title
ꜣꜥꜥ|Interpreter
ꜣꜥꜥ|dig
ꜣꜥꜥ|officially used
ꜣꜥꜥ|tree
ꜣꜥꜥt|Vessel
ꜣꜥꜥti҆i҆|fly away, get up
ꜣꜥw|Case for writing utensils
ꜣꜥw|Part of a temple
ꜣꜥw|noun
ꜣꜥbt|damage
ꜣꜥbw|Gods of the underworld:
ꜣꜥs|device
ꜣw|length
ꜣw|register someone
ꜣw|Death
ꜣw|Evil
ꜣwt|length
ꜣwt|donation
ꜣwt|altar
ꜣwt|Temple room
ꜣwt-i҆b|happiness
ꜣwt-i҆b|amulet
ꜣwt-i҆b|myrrh
ꜣwt-ꜥ|gift
ꜣw-hmhm|Nickname of Horus of Edfu
ꜣw-ḥꜣpt|Dendera
ꜣw-ḏrt|generous
ꜣwi҆|To be long
ꜣwi҆|stretch out
ꜣwi҆-i҆b|be happy, rejoice
ꜣwi҆-ḏrt|Lend a hand
ꜣwr|tremble
ꜣwḥ|displace
ꜣwḫ|serve
ꜣwš|Spices
ꜣb|stop
ꜣb|stamp with branding
ꜣb|Branding
ꜣb|Fingernail
ꜣb|noun
ꜣbt|family
ꜣbt|object
ꜣbt|noun
ꜣbt|Abydos Reliquary
ꜣbt|saliva
ꜣbt|Desire, vow
ꜣbi҆|to wish
ꜣbi҆|Panther
ꜣbi҆i҆t|mantis
ꜣbi҆-mḥ|cheetah
ꜣbi҆-šmꜥ|leopard
ꜣbi҆i҆t|bird
ꜣbw|Stop
ꜣbw|elephant
ꜣbw|Elephant tooth
ꜣbw|Elephantine
ꜣbw|officially used
ꜣbw|Branding
ꜣbw|Vow, wish
ꜣbw|Mummification tent
ꜣbwt|shape
ꜣbwti҆i҆w|Family members, domestic staff
ꜣb(w)d|Name of the reliquary in Abydos
ꜣbb|Mute
ꜣbnn|Fish species
ꜣbnn|bird
ꜣbḫ|Arm movement
ꜣbḫ|mix, mix
ꜣbḫ|Cook
ꜣbḫt|officially used liquid
ꜣbgbg|Waste, abundance
ꜣbd|bird
ꜣbḏ|Fishing genius
ꜣbḏw|fish
ꜣbḏw|Abydos
ꜣbḏw|Abydenians
ꜣpt|bushel
ꜣpd|bird
ꜣpd|bird
ꜣpd|copulate
ꜣpd|rush over
ꜣpd|Furniture
ꜣpdw-gnẖ-pt|Birds in the sky
ꜣpdwt|poultry
ꜣft|?
ꜣft|necropolis
ꜣfꜣf|to cheer
ꜣfꜣf|overload yourself with food
ꜣfi҆|Income from fishing
ꜣfi҆i҆|overload yourself with food
ꜣfi҆i҆t|Warmth, heat
ꜣfꜥ|greedy
ꜣfꜥ|Wolverine, gluttonous
ꜣfr|boil, simmer
ꜣm|burn
ꜣm|lion
ꜣm|Name of Horus
ꜣm|mutilate
ꜣmt|noun
ꜣmi҆|Epithet of the sun god
ꜣmi҆|Mix
ꜣmꜥ|bird
ꜣmꜥt|Porridge
ꜣmꜥt|Term for joint
ꜣmꜥt|Hinge
ꜣmw|Embers
ꜣmwt|combustion
ꜣmm|seize
ꜣmm|noun
ꜣmmt|Handle
ꜣmmw|illness
ꜣms|Club
ꜣms|Falsehood
ꜣmst|hand
ꜣms-i҆b|rejoice
ꜣmsw|noun
ꜣnḳ|priest
ꜣr|displace
ꜣr|Distance
ꜣrt|Headscarf, wig
ꜣrt|noun
ꜣrt|sky
ꜣri҆t|Rod
ꜣrw|noun
ꜣrwkt|Walker fluid
ꜣrwti҆i҆w|noun
ꜣrr|make yourself impatient
ꜣrr|disappointment
ꜣrs|noun
ꜣh|be sad, miserable
ꜣht|cow
ꜣht|goddess
ꜣhw|pain
ꜣhw|Sadder
ꜣhmt|suffering
ꜣhrw|College of Gods
ꜣhd|passed out, weak
ꜣhd|the exhausted
ꜣḥ|cake
ꜣḥt|Field, soil
ꜣḥt-nmḥw|Fields
ꜣḥ-ḥt|Manhole
ꜣḥt-tftf|irrigated fields
ꜣḥi҆t|fields
ꜣḥi҆i҆|Wave of flooding
ꜣḥs|Deity
ꜣḫ|to be glorious, excellent, useful
ꜣḫ|Dignity as spirit, spirit power
ꜣḫ|Be spirit
ꜣḫ|Spirit, transfiguration soul
ꜣḫ|be saved, blessed, dead
ꜣḫ|Label for beer, wine
ꜣḫ|green, flourish
ꜣḫ|<< in the Amarna period >>
ꜣḫt|flood time
ꜣḫt|Thing
ꜣḫt|Glory, useful things
ꜣḫt|blessed dead
ꜣḫt|Transfigured
ꜣḫt|Snake of the king
ꜣḫt|God eyes
ꜣḫt|Hathor cow
ꜣḫt|Flame, fire
ꜣḫt|Name for a priestess
ꜣḫt|loaf
ꜣḫt|Vessel for the limbs of Osiris
ꜣḫt|Horizon, place of sunrise
ꜣḫt|Fields
ꜣḫt|Goddess of the fruit land
ꜣḫt|Ibis
ꜣḫt|knife
ꜣḫti҆|Horizon dwellers
ꜣḫti҆|Arable crops
ꜣḫti҆t|Nickname of the Hathor of Dendera
ꜣḫ-i҆b|clever, benevolent
ꜣḫt-i҆tn|Amarna
ꜣḫ-bi҆t|Waters
ꜣḫ-bi҆tt|Celestial cow
ꜣḫ-nḫḫ|Deans
ꜣḫꜣ|noun
ꜣḫꜣḫ|to be green, to be green
ꜣḫꜣḫ|bone
ꜣḫꜣḫ|Designation of the stars
ꜣḫꜣḫ|Ship equipment
ꜣḫꜣḫ|dusk
ꜣḫꜣḫ|cordage
ꜣḫꜣḫw|Stars
ꜣḫi҆|sweep up
ꜣḫi҆|plants
ꜣḫi҆i҆t|room
ꜣḫi҆i҆t|Slaughterhouse
ꜣḫw|Makes
ꜣḫwi҆|Deans
ꜣḫf|Appetite
ꜣḫfḫf|get on fire
ꜣẖꜥ|scratch
ꜣẖꜥ|Stonemason
ꜣẖꜥ|walk through
ꜣẖꜥt|Scratch wound
ꜣẖb|swallow
ꜣẖbi҆i҆|the swallower
ꜣẖbw|Demon:
ꜣs|rush
ꜣs|noun
ꜣs|Body part of beef and pork
ꜣs|Dead stench
ꜣst|Goddess isis
ꜣst|material
ꜣst|Tremble
ꜣsw|Bird droppings
ꜣsb|burn
ꜣsb|the radiant one
ꜣsbt|Name of a goddess
ꜣsrt|sky
ꜣsḫ|mow with sickle, harvest
ꜣsḫ|sickle
ꜣsti҆i҆|the tremor
ꜣš|God of Libyans
ꜣš|spit out
ꜣš|be pervasive
ꜣšꜣšt|noun
ꜣši҆t|illness
ꜣšr|roast meat
ꜣšrt|Roast piece
ꜣḳ|perish, perish
ꜣḳ|devastation
ꜣḳ|climb up
ꜣḳꜣ|Ship part
ꜣḳi҆t|loss
ꜣḳw|Flour
ꜣḳw-n-hꜣ|Type of bread
ꜣḳḥw|ax
ꜣḳs|garment
ꜣḳs|Deity
ꜣḳd|Wolverine
ꜣḳdw|Demons
ꜣk|bow
ꜣkwt|illness
ꜣkr|Earth god
ꜣg|plants
ꜣgb|flood
ꜣgb|noun
ꜣgbi҆|flood
ꜣgbw|Noun:
ꜣgbgb|shudder
ꜣgbgb|abundance
ꜣggt|Part of the pipe
ꜣggt|Sheaf of flax stalks
ꜣti҆|Sun ship
ꜣti҆|take care of someone
ꜣtf|Crown of gods
ꜣtf|be crowned
ꜣtf|Incense
ꜣtf|tree
ꜣtfti҆|Crowned
ꜣṯ|wait, wind up
ꜣṯt|Stretcher, bed
ꜣṯi҆t|nurse
ꜣṯw|official
ꜣṯw|Attack, aggression
ꜣṯ(w)|burn to ashes
ꜣṯp|load
ꜣṯp|box
ꜣṯpw|load
ꜣṯpwt|load
ꜣd|crocodile
ꜣd|to be infuriated
ꜣd|Anger
ꜣd|take care of
ꜣd|decay
ꜣd|smear out
ꜣd|become dull
ꜣdt|Eye disease
ꜣdw|Angrier
ꜣdmw|Deity
i҆|Sheet of the pipe
i҆|Thoth
i҆|Oh!
i҆ꜣ|worship, pray
i҆ꜣ|Oh!
i҆ꜣ|verily!
