wj;I
nw;she
=j;he
=w;he
=f;we
=fj;both of us
=n;she
=nj;she
=s;you
=sn;you
=k;you
=T;eagle, vulture
=Tn;but
A;enter
A;Headdress
A;Time
At;Power
At;place, site
At;back
At;support bar
At;Ruin
At;club
AA;name of an indignant
AAt;Bandage
AAtjw;shy
Aj;atmospheric phenomenon:
Ajt-Hr;Brain
Ajw;deity:
Ajs;Force
Ajjt;baün
Aaj;accuse
Aaa;Job title
Aaa;Interpreter
Aaa;grave
Aaa;official used
Aaa;Tree
Aaa;vessel
Aaa;to fly away, to rise
Aaa;case for writing utensils
Aaat;part of a temple
Aaatjj;noun
Aaw;Damage
Aaw;Gods of the underworld:
Aaw;Device
Aabt;length
Aabw;to register someone
Aas;Death
Aw;Evil
Aw;Length
Aw;donation
Aw;Altar
Awt;Temple chamber
Awt;Cheerfulness
Awt;Amulet
Awt;Myrrh
Awt-jb;Gift
Awt-jb;Epithet of Horus of Edfu
Awt-jb;Dendera
Awt-a;bountiful
Aw-hmhm;be long
Aw-HApt;stretch out
Aw-Drt;to be happy, to rejoice
Awj;give a hand
Awj;tremble
Awj-jb;displace
Awj-Drt;serve
Awr;spices
AwH;stop
Awx;stamp with brand
AwS;brand stamp
Ab;fingernail
Ab;noun
Ab;Family
Ab;object
Ab;Noun
Abt;Reliquary of Abydos
Abt;Saliva
Abt;wish, vow
Abt;wish
Abt;Panther
Abt;praying mantis
AbAb;Cheetah
Abj;Leopard
Abj;Bird
Abjjt;Stop
Abj-mH;Elephant
Abj-Sma;Elephant tooth
Abjjt;Elephantine
Abw;officially used
Abw;Brand
Abw;vow, wish
Abw;Mummification tent
Abw;Figure
Abw;Family members, household staff
Abw;Name of the reliquary in Abydos
Abw;Mute
Abwt;Fish species
Abwtjjw;Bird
Ab(w)d;Arm movement
Abb;mix, mingle
Abb;cook
Abnn;officially used liquid
Abnn;waste, abundance
Abx;bird
Abx;fishing genius
Abx;fish
Abxt;Abydos
Abgbg;Abyden
Abd;Bushel
AbD;Bird
AbDw;bird
AbDw;copulate
AbDw;to come here
Apt;Furniture
Apd;Birds in the sky
Apd;Poultry
Apd;?
Apd;necropolis
Apd;cheer
Apdw-gnX-pt;overload themselves with food
Apdwt;yield from fishing
Aft;to overload with food
Aft;heat, heat
AfAf;greedy
AfAf;glutton, voracious
Afj;boil, simmer
Afjj;burn
Afjjt;lion
Afa;name of Horus
Afa;mutilate
Afr;Noun
Am;epithet of the sun god
Am;mix
Am;Bird
Am;porridge
Amt;Name for joint
Amj;hinge
Amj;Embers
Ama;burn
Amat;seize
Amat;Noun
Amat;Grip
Amw;disease
Amwt;club
Amm;falsehood
Amm;hand
Ammt;rejoice
Ammw;noun
Ams;priest
Ams;displace
Ams;Waymeasure
Amst;headscarf, wig
